date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:17	46988/46988	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3iTcE4/yx/l/en_GB/fqcH-8PrUoH.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3iTcE4/yx/l/en_GB/fqcH-8PrUoH.js	(from https://m.facebook.com/reg/?cid=103&refid=8)
11:07:17	1268/1268	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/yxIsU7wkguc.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yz/r/yxIsU7wkguc.js	(from https://m.facebook.com/reg/?cid=103&refid=8)
11:07:17	28087/28087	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3ipIu4/yG/l/en_GB/gmwM2DR1nyX.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3ipIu4/yG/l/en_GB/gmwM2DR1nyX.js	(from https://m.facebook.com/reg/?cid=103&refid=8)
11:07:17	23675/23675	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3ia4h4/yA/l/en_GB/992EqANCpU7.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3ia4h4/yA/l/en_GB/992EqANCpU7.js	(from https://m.facebook.com/reg/?cid=103&refid=8)
11:07:18	85094/85094	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3ixtr4/ys/l/en_GB/USAg1meT8VN.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3ixtr4/ys/l/en_GB/USAg1meT8VN.js	(from https://m.facebook.com/reg/?cid=103&refid=8)
11:07:18	2619/2619	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yt/l/0,cross/HrjTXjStDZ3.css	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3/yt/l/0,cross/HrjTXjStDZ3.css	(from https://m.facebook.com/help/?refid=8)
11:07:18	46611/46611	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2010:07:18%20GMT	https://m.facebook.com/login/identify/?ctx=recover%26c=https%3A%2F%2Fm.facebook.com%2F%26multiple_results=0%26ars=facebook_login%26lwv=100%26_rdr	C:/My%20Web%20Sites/facbook/m.facebook.com/login/identify/indexeaed.html	(from https://m.facebook.com/recover/initiate/?c=https%3A%2F%2Fm.facebook.com%2F&ars=facebook_login&lwv=100&refid=8)
11:07:18	377257/377257	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3iF3w4/yg/l/es_LA/9I3F7fH72Zx.js	C:/My%20Web%20Sites/facbook/static.xx.fbcdn.net/rsrc.php/v3iF3w4/yg/l/es_LA/9I3F7fH72Zx.js	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/a/language.php?l=pl_PL&lref=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&gfid=AQA_8qYmHvKSIog1&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/a/language53f1.php	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
11:07:19	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2020%20May%202018%2010:07:19%20GMT	https://m.facebook.com/recover/initiate/?c=https%3A%2F%2Fm.facebook.com%2F%3Frefsrc%3Dhttps%253A%252F%252Fm.facebook.com%252F&ars=facebook_login&lwv=100&refid=8	C:/My%20Web%20Sites/facbook/m.facebook.com/recover/initiate/index9812.html	(from https://m.facebook.com/?refsrc=https%3A%2F%2Fm.facebook.com%2F&_rdr)
